ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
551,Collectivité européenne d'Alsace,COLLECTIVITE EUROPEENNE D ALSACE,200 094 332,,,Departement
938,Collectivité territoriale,COLLECTIVITE TERRITORIALE,,,,
998,communauté agglomération du Sicoval,COMMUNAUTE AGGLOMERATION DU SICOVAL,243 100 633,,,EPCI
317,Communauté d'Agglomération Arlysère,CA ARLYSERE,200068997,,"63,127.00",EPCI
534,Communaute d'Agglomération de Bastia,CA DE BASTIA,242000354,,"63,277.00",EPCI
507,Communauté d'agglomération de Blois,CA DE BLOIS,200 030 385,41009,"105,445.00",EPCI
508,Communauté d'Agglomération de Grand Paris Sud - Seine Essonne Sénart -,CA DE GRAND PARIS SUD   SEINE ESSONNE SENART,200 059 228,77067,,EPCI
522,Communauté d'Agglomération de l'Espace sud Martinique,CA DE L ESPACE SUD MARTINIQUE,249720053,,,EPCI
523,Communauté d'agglomération de la porte du hainaut,CA DE LA PORTE DU HAINAUT,200 042 190,,,EPCI
313,Communauté d'agglomération du Cotentin,CA DU COTENTIN,200067205,,"183,572.00",EPCI
49,Communauté d'agglomération du gard rhodanien,CA DU GARD RHODANIEN,200034692,,"76,252.00",EPCI
221,Communauté d'agglomération du Puy-en-Velay,CA DU PUY EN VELAY,200073419,,"85,621.00",EPCI
260,Communauté d'Agglomération Grand Paris Sud (Seine - Essonne - Sénart),CA GRAND PARIS SUD  SEINE   ESSONNE   SENART,,,,EPCI
807,Communauté d'agglomération Paris - Vallée de la Marne,CA PARIS   VALLEE DE LA MARNE,200057958,,"229,440.00",EPCI
112,Communauté d'Agglomération Pays Basque,CA PAYS BASQUE,200 067 106,,,EPCI
226,Communauté d'Agglomération Pays Basque,CA PAYS BASQUE,201 067 106,,,EPCI
237,Communauté d'Agglomération Ventoux-Comtat Venaissin,CA VENTOUX COMTAT VENAISSIN,248400053,,,EPCI
80,Communauté de communes Cœur de France,CC COEUR DE FRANCE,200036135,,"18,779.00",EPCI
727,Communauté de communes d ela vallée de kaysersberg,CC D ELA VALLEE DE KAYSERSBERG,,,,EPCI
683,Communauté de communes de Sélestat,CC DE SELESTAT,246700967,,"37,449.00",EPCI
26,Communauté de communes des collines du Perche normand,CC DES COLLINES DU PERCHE NORMAND,200071504,,"12,433.00",EPCI
686,Communauté de Communes du Pays de Saverne,CC DU PAYS DE SAVERNE,200068112,,"36,559.00",EPCI
771,communauté de communes du Pays de Wissembourg,CC DU PAYS DE WISSEMBOURG,246700926,,"16,156.00",EPCI
582,Communauté de Communes du Piémont Cévenol,CC DU PIEMONT CEVENOL,200034411,,"22,459.00",EPCI
194,Communauté de Communes du Saulnois,CC DU SAULNOIS,245701206,,"29,518.00",EPCI
287,Communauté de Communes Entre Juine et Renarde,CC ENTRE JUINE ET RENARDE,249100553,,,EPCI
