ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,EUROMETROPOLE DE METZ,EUROMETROPOLE DE METZ,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,1104397,DEPT
183,,,,,,
184,Commune de Taiarapu-ouest,TAIARAPU OUEST,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,saint-loup-lamairé,SAINT LOUP LAMAIRE,217902683,79268,1035,Commune
189,commune de Saint Jean d'Angély,SAINT JEAN D ANGELY,211703475,17347,7230,Commune
190,Le Mans métropole,LE MANS METROPOLE,,,,
191,Conseil départemental des Côtes d'Armor,COTES D ARMOR,222200016,22,618869,DEPT
192,,,,,,
193,,,,,,
194,Communauté de Communes du Saulnois,CC DU SAULNOIS,245701206,,29518,GFP
195,,,,,,
196,Mairie de Caluire et Cuire,CALUIRE ET CUIRE,216900340,69034,43916,Commune
197,,,,,,
198,CA SICOVAL,CA SICOVAL,,,,
199,SDIS du TARN,SDIS DU TARN,,,,
200,trt,TRT,,,,
201,,,,,,
202,,,,,,
203,Vallée Sud - Grand Paris,VALLEE SUD   GRAND PARIS,,,,
204,,,,,,
205,MAIRIE,MAIRIE,,,,
206,Bordeaux Métropole,BORDEAUX METROPOLE,243300316,,824449,GFP
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,Valence Romans Agglo,VALENCE ROMANS AGGLO,,,,
214,,,,,,
215,CRIGE PACA,CRIGE PACA,,,,
216,,,,,,
217,,,,,,
218,Cpmmunauté de communes Pays Haut val d'Alzette,CPMMUNAUTE DE COMMUNES PAYS HAUT VAL D ALZETTE,,,,
219,INFOPRO-DIGITAL,INFOPRO DIGITAL,,,,
220,Infopro,INFOPRO,,,,
221,Communauté d'agglomération du Puy-en-Velay,CA DU PUY EN VELAY,200073419,,85621,GFP
222,Brest métropole,BREST METROPOLE,242900314,,215367,GFP
223,,,,,,
224,,,,,,
225,,,,,,
226,Communauté d'Agglomération Pays Basque,CA PAYS BASQUE,,,,
227,,,,,,
228,Alès Agglomération,ALES AGGLOMERATION,,,,
229,,,,,,
230,Région des Pays de la Loire,REGION DES PAYS DE LA LOIRE,,,,
231,SMICA,SMICA,,,,
232,,,,,,
233,Conseil Départemental de la Haute-Garonne,HAUTE GARONNE,223100017,31,1423290,DEPT
234,,,,,,
235,,,,,,
236,Région Île-de-France,REGION ILE DE FRANCE,,,,
237,Communauté d'Agglomération Ventoux-Comtat Venaissin,CA VENTOUX COMTAT VENAISSIN,,,,
238,,,,,,
239,Ville de lyon,VILLE DE LYON,,,,
240,ALPI,ALPI,,,,
241,,,,,,
242,Département de la gironde,LA GIRONDE,,,,
243,Métropole du Grand Paris,METROPOLE DU GRAND PARIS,,,,
244,Monptellier Méditerranée Métropole,MONPTELLIER MEDITERRANEE METROPOLE,,,,
245,Ville de Lyon,VILLE DE LYON,,,,
246,Département des Hautes-Pyrénées,DES HAUTES PYRENEES,,,,
247,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,,,,
248,,,,,,
249,SI GRANDE PLAGNE,SI GRANDE PLAGNE,,,,
250,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,,,,
251,Commune les Belleville,COMMUNE LES BELLEVILLE,,,,
252,Ministère de l'Enseignement Supérieur et de la Recherche,MINISTERE DE L ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE,,,,
253,Mairie du 8e secteur de Marseille,MAIRIE DU E SECTEUR DE MARSEILLE,,,,
254,,,,,,
255,,,,,,
256,test,TEST,,,,
257,,,,,,
258,,,,,,
259,Région Occitanie,REGION OCCITANIE,,,,
260,Communauté d'Agglomération Grand Paris Sud (Seine - Essonne - Sénart),CA GRAND PARIS SUD  SEINE   ESSONNE   SENART,,,,
261,,,,,,
262,,,,,,
263,Conseil départemental du Var,VAR,228300018,83,1093822,DEPT
264,Mairie de Marseillan,MARSEILLAN,213202385,32238,89,Commune
264,Mairie de Marseillan,MARSEILLAN,213401508,34150,7838,Commune
264,Mairie de Marseillan,MARSEILLAN,216503011,65301,264,Commune
265,mairie de bayonne,BAYONNE,216401026,64102,53063,Commune
266,Sciences Po Paris,SCIENCES PO PARIS,,,,
267,Grenoble-Alpes Métropole,GRENOBLE ALPES METROPOLE,200040715,,452707,GFP
268,Commune de Sailly-Lez-Lannoy,SAILLY LEZ LANNOY,215905225,59522,1975,Commune
269,La Rosière Tourisme,LA ROSIERE TOURISME,,,,
270,Val Thorens Réservation,VAL THORENS RESERVATION,,,,
271,IGN,IGN,,,,
272,,,,,,
273,,,,,,
274,Ville de Rouen,VILLE DE ROUEN,,,,
275,,,,,,
276,Agglomération de la Région de Compiègne et de la Basse Automne,AGGLOMERATION DE LA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,,,,
277,SAINTE FOY TOURISME,SAINTE FOY TOURISME,,,,
278,,,,,,
279,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,,,,
280,Service Départemental d'Incendie et de Secours du Tarn,SERVICE DEPARTEMENTAL D INCENDIE ET DE SECOURS DU TARN,,,,
281,,,,,,
282,Ccva,CCVA,,,,
283,ANGERS LOIRE METROPOLE,ANGERS LOIRE METROPOLE,,,,
284,,,,,,
285,Archipels,ARCHIPELS,,,,
286,Communauté de Communes Fier et Usses,CC FIER ET USSES,247400567,,16057,GFP
287,Communauté de Communes Entre Juine et Renarde,CC ENTRE JUINE ET RENARDE,,,,
288,Ville de croix,VILLE DE CROIX,,,,
289,,,,,,
290,CA Pays Basque,CA PAYS BASQUE,,,,
291,,,,,,
292,,,,,,
293,A la recherche d'un poste,A LA RECHERCHE D UN POSTE,,,,
294,,,,,,
295,,,,,,
296,UPEC université,UPEC UNIVERSITE,,,,
297,,,,,,
298,,,,,,
299,Archives départementales des Yvelines,ARCHIVES DEPARTEMENTALES DES YVELINES,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,CIG Versailles,CIG VERSAILLES,,,,
305,Eurométropole de Metz,EUROMETROPOLE DE METZ,,,,
306,Makina Corpus,MAKINA CORPUS,,,,
307,Département du Loiret,DU LOIRET,,,,
308,,,,,,
309,region reunion,REGION REUNION,,,,
310,Commune de LES BELLEVILLE,LES BELLEVILLE,200084606,73257,3611,Commune
311,Commune Les Belleville,COMMUNE LES BELLEVILLE,,,,
312,La Poste,LA POSTE,,,,
313,Communauté d'agglomération du Cotentin,CA DU COTENTIN,200067205,,183572,GFP
314,cdc de Lacq-orthez,CDC DE LACQ ORTHEZ,,,,
315,,,,,,
316,,,,,,
317,Communauté d'Agglomération Arlysère,CA ARLYSERE,200068997,,63127,GFP
318,BORDEAUX METROPOLE,BORDEAUX METROPOLE,243300316,,824449,GFP
319,,,,,,
320,mairie de lambersart,LAMBERSART,215903287,59328,27835,Commune
321,Département du Rhône,DU RHONE,,,,
322,,,,,,
323,Jazz Data,JAZZ DATA,,,,
324,Brittany ferries,BRITTANY FERRIES,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,Santé publique France,SANTE PUBLIQUE FRANCE,,,,
329,ESMA,ESMA,,,,
330,Ville de Marseille,VILLE DE MARSEILLE,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,École Nationale d'Administration Publique (ENAP),ECOLE NATIONALE D ADMINISTRATION PUBLIQUE  ENAP,,,,
336,,,,,,
337,Inspection Générale des Finances,INSPECTION GENERALE DES FINANCES,,,,
338,,,,,,
339,Association du réseau des Carif-Oref,ASSOCIATION DU RESEAU DES CARIF OREF,,,,
340,,,,,,
341,CcOMMUNE DE SENNECEY-LE-GRAND,CSENNECEY LE GRAND,,,,
342,ministère de la justice,MINISTERE DE LA JUSTICE,,,,
343,,,,,,
344,,,,,,
345,Saint-Louis Agglomération,SAINT LOUIS AGGLOMERATION,,,,
346,Mairie d'Orvault,ORVAULT,214401143,44114,27908,Commune
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,Ville de Vif,VILLE DE VIF,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,MEAE,MEAE,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,ARGENCES,ARGENCES,211400205,14020,3825,Commune
364,,,,,,
365,,,,,,
366,,,,,,
367,Mairie,MAIRIE,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,
374,Département du Val d'Oise,DU VAL D OISE,,,,
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,,,,,,
380,Maison Départementale de la Solidarité Tours Monconseil,MAISON DEPARTEMENTALE DE LA SOLIDARITE TOURS MONCONSEIL,,,,
381,,,,,,
382,,,,,,
383,saint etienne metropole,SAINT ETIENNE METROPOLE,244200770,,410565,GFP
384,,,,,,
385,,,,,,
386,Conseil Départemental de la Seine Maritime,SEINE MARITIME,227605409,76,1276532,DEPT
387,,,,,,
388,,,,,,
389,Conseil départemental de l'Isère,ISERE,223800012,38,1296116,DEPT
390,,,,,,
391,Conseil départemental d'Indre-et-Loire,CONSEIL DEPARTEMENTAL D INDRE ET LOIRE,,,,
392,,,,,,
393,EPCI,EPCI,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,SDMIS,SDMIS,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,SIDEC du Jura,SIDEC DU JURA,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,Ville de Marseille,VILLE DE MARSEILLE,,,,
407,,,,,,
408,Conseil départemental du Val d'Oise,VAL D OISE,229501275,95,1259985,DEPT
409,CC du HAUT BEARN,CC DU HAUT BEARN,200067262,,33252,GFP
410,,,,,,
411,conseil départemental de la seine saint denis,SEINE SAINT DENIS,229300082,93,1651739,DEPT
412,Mairie de Courchevel,COURCHEVEL,200064038,73227,2433,Commune
413,,,,,,
414,,,,,,
415,Conseil départemental de la Nièvre,NIEVRE,225800010,58,209860,DEPT
416,,,,,,
417,,,,,,
418,,,,,,
419,Grand Poitiers Communauté Urbaine,GRAND POITIERS COMMUNAUTE URBAINE,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,Dijon métropole,DIJON METROPOLE,242100410,,260376,GFP
424,,,,,,
425,,,,,,
426,Le Mans Métropole,LE MANS METROPOLE,,,,
427,,,,,,
428,,,,,,
429,Mairie AUCH,MAIRIE AUCH,,,,
430,Département du Loir et Cher,DU LOIR ET CHER,,,,
431,,,,,,
432,Mairie de La Possession,LA POSSESSION,219740081,97408,33405,Commune
433,Département de Maine-et-Loire,MAINE ET LOIRE,224900019,49,838257,DEPT
434,Ville de Douai,VILLE DE DOUAI,,,,
435,,,,,,
436,Mairie,MAIRIE,,,,
437,,,,,,
438,Département de La Réunion,LA REUNION,239740012,04,870870,REG
438,Département de La Réunion,LA REUNION,229740014,974,870870,DEPT
438,Département de La Réunion,LA REUNION,214702227,47222,495,Commune
439,,,,,,
440,CHATEAUROUX METROPOLE,CHATEAUROUX METROPOLE,,,,
441,Eurométropole de Strasbourg,EUROMETROPOLE DE STRASBOURG,246700488,,510718,GFP
442,SYNDICAT MIXTE MEGALIS BRETAGNE,SYNDICAT MIXTE MEGALIS BRETAGNE,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,Insee,INSEE,,,,
449,Mairie de Besançon,BESANCON,212500565,25056,121144,Commune
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,CCAS d'Echirolles,CCAS D ECHIROLLES,,,,
455,?,"",,,,
456,Mairie de Villejuif,VILLEJUIF,219400769,94076,55451,Commune
457,,,,,,
458,,,,,,
459,,,,,,
460,Conseil départemental des Hauts-de-Seine,HAUTS DE SEINE,229200506,92,1640721,DEPT
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,Département de Meurthe et Moselle,MEURTHE ET MOSELLE,225400019,54,745453,DEPT
473,,,,,,
474,trth,TRTH,,,,
475,CACL GUYANE,CACL GUYANE,,,,
476,,,,,,
477,VILLE DE LYON,VILLE DE LYON,,,,
478,DGS-PMI de la CEA,DGS PMI DE LA CEA,,,,
479,,,,,,
480,CCAS de la Ville de Sélestat,CCAS DE LA VILLE DE SELESTAT,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,User_e_com,USER E COM,,,,
488,,,,,,
489,Île-de-France Mobilités,ILE DE FRANCE MOBILITES,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,Eure et Loir Ingénierie,EURE ET LOIR INGENIERIE,,,,
494,,,,,,
495,,,,,,
496,Mairie de Montreuil,MONTREUIL,212802672,28267,513,Commune
496,Mairie de Montreuil,MONTREUIL,216205880,62588,2059,Commune
496,Mairie de Montreuil,MONTREUIL,218501484,85148,837,Commune
496,Mairie de Montreuil,MONTREUIL,219300480,93048,111810,Commune
497,,,,,,
498,mairie de Val d'Isère,VAL D ISERE,217303049,73304,1629,Commune
499,Parc naturel régional des Vosges du Nord,PARC NATUREL REGIONAL DES VOSGES DU NORD,,,,
500,SGAR,SGAR,,,,
501,,,,,,
502,Région Réunion,REGION REUNION,,,,
503,Collectivité européenne d'Alsace,COLLECTIVITE EUROPEENNE D ALSACE,,,,
504,,,,,,
505,MDPH 31,MDPH,,,,
506,,,,,,
507,Communauté d'agglomération de Blois,CA DE BLOIS,,,,
508,Communauté d'Agglomération de Grand Paris Sud - Seine Essonne Sénart -,CA DE GRAND PARIS SUD   SEINE ESSONNE SENART,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,Grand Besançon Métropole,GRAND BESANCON METROPOLE,,,,
516,,,,,,
517,,,,,,
518,Mairie de Montauban,MONTAUBAN,218201218,82121,62832,Commune
519,Département des Bouches du Rhônes,DES BOUCHES DU RHONES,,,,
520,Caux Seine agglo,CAUX SEINE AGGLO,,,,
521,Expertise France (groupe AFD),EXPERTISE FRANCE  GROUPE AFD,,,,
522,Communauté d'Agglomération de l'Espace sud Martinique,CA DE L ESPACE SUD MARTINIQUE,,,,
523,Communauté d'agglomération de la porte du hainaut,CA DE LA PORTE DU HAINAUT,,,,
524,,,,,,
525,Ville de Lyon,VILLE DE LYON,,,,
526,,,,,,
527,COURLAOUX,COURLAOUX,213901713,39171,1175,Commune
528,,,,,,
529,,,,,,
530,,,,,,
531,,,,,,
532,Mairie de LACROIX-FALGARDE,LACROIX FALGARDE,213102593,31259,2130,Commune
533,,,,,,
534,Communaute d'Agglomération de Bastia,CA DE BASTIA,242000354,,63277,GFP
535,dazdaz,DAZDAZ,,,,
536,Département de l'Isère,L ISERE,,,,
537,,,,,,
538,CCI Hauts De France,CCI HAUTS DE FRANCE,,,,
539,ICRC,ICRC,,,,
540,,,,,,
541,,,,,,
542,Conseil Départemental de l'Essonne,ESSONNE,229102280,91,1316011,DEPT
543,,,,,,
544,CDG12,CDG,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,Val de Loire Numérique,VAL DE LOIRE NUMERIQUE,,,,
550,,,,,,
551,Collectivité européenne d'Alsace,COLLECTIVITE EUROPEENNE D ALSACE,,,,
552,CA LE GRAND NARBONNE,CA LE GRAND NARBONNE,241100593,,133409,GFP
553,,,,,,
554,,,,,,
555,,,,,,
556,CDA La Rochelle,CDA LA ROCHELLE,,,,
557,Région academique Bourgogne-Franche-Comté,REGION ACADEMIQUE BOURGOGNE FRANCHE COMTE,,,,
558,Tours Métropole Val de Loire,TOURS METROPOLE VAL DE LOIRE,243700754,,301900,GFP
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,assurance maladie,ASSURANCE MALADIE,,,,
564,,,,,,
565,,,,,,
566,SDEHG,SDEHG,,,,
567,,,,,,
568,Conseil départemental de l'Ariège,ARIEGE,220900013,09,157339,DEPT
569,a,A,,,,
570,Département du Gers,DU GERS,,,,
571,Syndicat mixte du SCOT PLaine du Roussillon,SYNDICAT MIXTE DU SCOT PLAINE DU ROUSSILLON,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,cogedope,COGEDOPE,,,,
579,Mairie de Bertrtimoutier,BERTRTIMOUTIER,,,,
580,COMMUNE DE MAMOUDZOU,MAMOUDZOU,200008837,97611,72974,Commune
581,sebastien martinez,SEBASTIEN MARTINEZ,,,,
582,Communauté de Communes du Piémont Cévenol,CC DU PIEMONT CEVENOL,200034411,,22459,GFP
583,,,,,,
584,,,,,,
585,Communauté de Communes Sud-Hérault,CC SUD HERAULT,200042653,,18235,GFP
586,Collectivité de Corse,COLLECTIVITE DE CORSE,,,,
587,,,,,,
588,Ville de Gauchy,VILLE DE GAUCHY,,,,
589,,,,,,
590,,,,,,
591,ASA du canal Branche ancienne de Prades,ASA DU CANAL BRANCHE ANCIENNE DE PRADES,,,,
592,Syndicat Intercommunal d'Information Géographique (SiiG),SYNDICAT INTERCOMMUNAL D INFORMATION GEOGRAPHIQUE  SIIG,,,,
593,,,,,,
594,,,,,,
595,,,,,,
596,,,,,,
597,IGN,IGN,,,,
598,sdis971,SDIS,,,,
599,,,,,,
600,,,,,,
601,,,,,,
602,Syndicat intercommunal de valberg,SYNDICAT INTERCOMMUNAL DE VALBERG,,,,
603,BDF,BDF,,,,
604,ISEE,ISEE,,,,
605,,,,,,
606,,,,,,
607,CFDT,CFDT,,,,
608,,,,,,
609,Les Échos,LES ECHOS,,,,
610,,,,,,
611,,,,,,
612,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,1104397,DEPT
613,Conseil régional des hauts de france,DES HAUTS DE FRANCE,,,,
614,SCALEN,SCALEN,,,,
615,,,,,,
616,Conseil Départemental de l'Hérault,HERAULT,223400011,34,1193790,DEPT
617,CDG FPT 21,CDG FPT,,,,
618,Département de la Loire,LA LOIRE,,,,
619,ccas,CCAS,,,,
620,Région Grand Est,REGION GRAND EST,,,,
621,anct,ANCT,,,,
622,Teritorio,TERITORIO,,,,
623,Région sud,REGION SUD,,,,
624,,,,,,
625,,,,,,
626,Grand Auch Coeur de Gascogne,GRAND AUCH COEUR DE GASCOGNE,,,,
627,CC du Pays de Lunel,CC DU PAYS DE LUNEL,243400520,,51565,GFP
628,SMMAR,SMMAR,,,,
629,,,,,,
630,Communuté d'agglomération du Cotentin,COMMUNUTE D AGGLOMERATION DU COTENTIN,,,,
631,,,,,,
632,Conseil régional d'Ile-de-France,D ILE DE FRANCE,,,,
633,Mairie de Pont de Claix,PONT DE CLAIX,,,,
634,Département du Gard,DU GARD,,,,
635,,,,,,
636,,,,,,
637,,,,,,
638,COMMUNE DE LA COUDRAY,LA COUDRAY,,,,
639,,,,,,
640,Brest métropole,BREST METROPOLE,242900314,,215367,GFP
641,,,,,,
642,,,,,,
643,COMMUNE DE COMBREUX,COMBREUX,214501017,45101,280,Commune
644,Mairie Beauce la Romaine,MAIRIE BEAUCE LA ROMAINE,,,,
645,Commune de Vandouvre-lès-Nancy,VANDOUVRE LES NANCY,,,,
646,,,,,,
647,CC du Pays de Lunel,CC DU PAYS DE LUNEL,243400520,,51565,GFP
