ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
236,Région Île-de-France,REGION ILE DE FRANCE,,,,Region
237,Communauté d'Agglomération Ventoux-Comtat Venaissin,CA VENTOUX COMTAT VENAISSIN,248400053,,,EPCI
239,Ville de lyon,VILLE DE LYON,216901231,69123,529570,Commune
240,ALPI,ALPI,,,,
242,Département de la gironde,LA GIRONDE,,,,Departement
243,Métropole du Grand Paris,METROPOLE DU GRAND PARIS,200 054 781,75013,,Metropole
244,Monptellier Méditerranée Métropole,MONPTELLIER MEDITERRANEE METROPOLE,,,,Metropole
245,Ville de Lyon,VILLE DE LYON,216901231,69123,529570,Commune
246,Département des Hautes-Pyrénées,DES HAUTES PYRENEES,,,,Departement
247,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,257 302 539,73600,,
249,SI GRANDE PLAGNE,SI GRANDE PLAGNE,,,,
250,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,258 302 539,73601,,
251,Commune les Belleville,COMMUNE LES BELLEVILLE,200084606,73440,3611,Commune
252,Ministère de l'Enseignement Supérieur et de la Recherche,MINISTERE DE L ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE,,,,
253,Mairie du 8e secteur de Marseille,MAIRIE DU E SECTEUR DE MARSEILLE,,13008,,
256,test,TEST,,,,
259,Région Occitanie,REGION OCCITANIE,,,,Region
260,Communauté d'Agglomération Grand Paris Sud (Seine - Essonne - Sénart),CA GRAND PARIS SUD  SEINE   ESSONNE   SENART,,,,EPCI
263,Conseil départemental du Var,VAR,228300018,83,1093822,Departement
264,Mairie de Marseillan,MARSEILLAN,213401508,34150,7838,Commune
265,mairie de bayonne,BAYONNE,216401026,64102,53063,Commune
266,Sciences Po Paris,SCIENCES PO PARIS,,,,
267,Grenoble-Alpes Métropole,GRENOBLE ALPES METROPOLE,200040715,,452707,Metropole
268,Commune de Sailly-Lez-Lannoy,SAILLY LEZ LANNOY,215905225,59522,1975,Commune
269,La Rosière Tourisme,LA ROSIERE TOURISME,,,,
270,Val Thorens Réservation,VAL THORENS RESERVATION,,,,
271,IGN,IGN,,,,
274,Ville de Rouen,VILLE DE ROUEN,217605401,76540,113934,Commune
276,Agglomération de la Région de Compiègne et de la Basse Automne,AGGLOMERATION DE LA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,200067965,60200,83078,EPCI
